SCHOOL_TYPE,SPORT_CODE,NCAA_DIVISION,NCAA_SUBDIVISION,NCAA_CONFERENCE,FOURYEAR_ELIGIBILITY,FOURYEAR_RETENTION
1.0,4.0,1.0,1.0,Pac-12 Conference,0.9266,0.9466
1.0,2.0,1.0,1.0,Pac-12 Conference,0.9394,0.9271
1.0,6.0,1.0,1.0,Pac-12 Conference,0.9608,0.9412
1.0,12.0,1.0,1.0,Pac-12 Conference,0.9873,0.9742
1.0,13.0,1.0,1.0,Pac-12 Conference,0.9815,0.9412
1.0,14.0,1.0,1.0,Pac-12 Conference,0.9655,0.8929
1.0,15.0,1.0,1.0,Pac-12 Conference,0.9381,0.9174
1.0,16.0,1.0,1.0,Pac-12 Conference,0.9753,0.9877
1.0,17.0,1.0,1.0,Pac-12 Conference,0.9689,0.9813
1.0,19.0,1.0,1.0,Pac-12 Conference,0.9735,0.982
1.0,21.0,1.0,1.0,Pac-12 Conference,1.0,1.0
1.0,25.0,1.0,1.0,Pac-12 Conference,0.9216,0.9608
1.0,28.0,1.0,1.0,Pac-12 Conference,1.0,1.0
1.0,22.0,1.0,1.0,Pac-12 Conference,0.9803,0.9751
1.0,31.0,1.0,1.0,Pac-12 Conference,1.0,0.9863
1.0,32.0,1.0,1.0,Pac-12 Conference,0.9894,0.9947
1.0,33.0,1.0,1.0,Pac-12 Conference,1.0,0.9844
1.0,34.0,1.0,1.0,Pac-12 Conference,0.9722,0.963
1.0,35.0,1.0,1.0,Pac-12 Conference,0.9716,0.9712
1.0,36.0,1.0,1.0,Pac-12 Conference,0.9684,0.9684
1.0,37.0,1.0,1.0,Pac-12 Conference,0.9862,0.972
0.0,4.0,1.0,1.0,Pac-12 Conference,0.9617,0.9505
0.0,2.0,1.0,1.0,Pac-12 Conference,0.9802,0.9697
